id,x,y
0,4360,6178
1,10906,14956
2,5071,8963
3,13853,4105
4,18885,3168
5,7439,14160
6,16762,435
7,4483,554
8,8537,8648
9,19069,2226
10,8928,9387
11,15714,10612
12,12394,9133
13,6669,16140
14,7937,11817
15,6246,7019
16,9562,1617
17,5799,11994
18,12549,8989
19,16355,12913
20,8090,12055
21,14938,2650
22,14134,11462
23,6511,15198
24,8491,11767
25,14419,5652
26,16045,11180
27,9534,10688
28,7470,7167
29,12478,13928
30,18005,767
31,13828,4863
32,10850,4719
33,6296,15085
34,9446,6439
35,12751,2804
36,14863,4396
37,4829,2197
38,5076,7386
39,5404,14521
40,5389,1511
41,9745,15232
42,2770,2788
43,11793,3993
44,3985,1206
45,12597,12726
46,11825,11318
47,17118,103
48,19152,1359
49,11346,8203
50,9812,16208
51,17243,405
52,15327,1000
53,13983,6472
54,10421,19557
55,15609,3843
56,17567,11476
57,8271,1027
58,10977,3660
59,9618,1584
60,13719,4374
61,16930,11847
62,16100,7948
63,3262,18152
64,13180,3350
65,15612,6612
66,9644,9469
67,16072,13602
68,16675,12728
69,16507,5510
70,3722,8206
71,6939,169
72,9369,12923
73,1805,2480
74,11733,9809
75,12051,10778
76,14727,12596
77,18137,3903
78,19020,4291
79,8376,13144
80,5217,1340
81,7841,915
82,12386,3346
83,7585,8820
84,14283,5151
85,13998,1449
86,11256,8515
87,8114,3154
88,5366,9345
89,10642,8039
90,16182,12412
91,16884,4163
92,13239,15945
93,6075,9936
94,3591,2568
95,4971,8004
96,8114,9885
97,9531,5061
98,17835,359
99,6546,1726
100,15392,2979
101,10225,5481
102,9765,2701
103,5401,13296
104,8064,15595
105,7001,1990
106,10664,3775
107,10018,4200
108,14769,8575
109,12610,10664
110,6139,6485
111,17306,6066
112,19936,4715
113,8378,18217
114,13789,3659
115,15847,10899
116,14410,3208
117,18027,4095
118,6830,14984
119,8279,6627
120,17041,13214
121,8289,5328
122,11353,8517
123,11387,12770
124,7227,3042
125,3575,5218
126,3859,6444
127,14232,8038
128,13779,1290
129,12194,2080
130,17756,8552
131,14546,6029
132,9001,16874
133,7508,5833
134,19634,799
135,12782,3040
136,16280,5887
137,16932,7844
138,6585,2933
139,13575,6074
140,16517,7667
141,6931,15743
142,11893,16649
143,14916,1639
144,15338,176
145,15198,17509
146,15451,10571
147,11541,16204
148,14444,2880
149,16770,10670
150,9015,11743
151,15386,5948
152,17786,1331
153,17812,5866
154,7932,16785
155,11209,15473
156,16124,3373
157,11345,15581
158,15220,7958
159,12576,8168
160,12104,15403
161,11027,5297
162,11803,15119
163,6980,3537
164,7765,9638
165,18582,15710
166,15965,14783
167,3126,1052
168,14915,1269
169,9035,7984
170,7786,18429
171,17134,4637
172,2438,2651
173,15833,2962
174,14618,11276
175,6812,2938
176,12880,712
177,13029,5088
178,19006,4666
179,9003,10786
180,7442,3317
181,7960,9856
182,18997,5779
183,7766,2374
184,3003,6253
185,4304,352
186,8017,17177
187,11077,3422
188,12380,8467
189,15579,10885
190,1751,7229
191,10365,7909
192,14176,1002
193,19232,3569
194,11271,1066
195,4417,2702
196,11067,14723
197,10795,2872
198,14295,14635
199,14750,1642
200,7563,6603
201,15383,2314
202,17657,11693
203,12525,17352
204,15445,14838
205,14028,5688
206,12404,14825
207,14206,692
208,13832,16307
209,17839,8161
210,4450,1448
211,11514,16603
212,14231,4934
213,15378,4508
214,8680,1898
215,15881,9950
216,9491,3513
217,6773,2128
218,10046,15210
219,4181,1271
220,11555,13904
221,15988,13894
222,10442,3538
223,13518,17721
224,15392,585
225,12248,16142
226,10248,5643
227,17860,5576
228,4536,9263
229,10436,3386
230,14343,1365
231,18702,5126
232,9417,2321
233,13087,11310
234,15996,4482
235,6044,12093
236,3395,5202
237,14186,7321
238,6022,2327
239,19215,2153
240,17435,3474
241,3219,5577
242,15831,12131
243,7463,18774
244,14845,2066
245,1339,2416
246,12652,14362
247,15930,5604
248,9340,15873
249,17354,11826
250,13389,9366
251,10892,3706
252,11666,17522
253,7195,14262
254,5708,2746
255,18737,3190
256,16827,1849
257,11990,13560
258,4681,2386
259,17764,289
260,14002,5698
261,6679,2348
262,14962,5691
263,10371,1960
264,12058,9732
265,17617,6390
266,15222,3362
267,4784,1216
268,15423,9134
269,17216,4422
270,17649,5835
271,6304,2410
272,15532,8600
273,12795,15729
274,9382,700
275,13776,10480
276,6110,16071
277,17326,10218
278,8030,7074
279,10449,16295
280,5436,13644
281,7150,11610
282,17481,4976
283,16160,7869
284,12352,2834
285,4847,8838
286,16170,8596
287,6048,11675
288,1867,3518
289,15474,16320
290,9368,1981
291,15917,14892
292,7547,5887
293,11578,3475
294,8173,1110
295,13297,17806
296,8940,15041
297,17478,11775
298,9176,794
299,15644,14019
300,7176,611
301,14886,3682
302,9199,3893
303,6993,9171
304,6423,13806
305,259,5691
306,17402,12927
307,16514,11469
308,6670,12438
309,13959,7249
310,9589,2804
311,6427,7070
312,12889,3474
313,14954,15483
314,19673,5367
315,13612,15753
316,9075,3810
317,13177,3436
318,5309,3030
319,14972,9015
320,5449,11007
321,16987,12759
322,14668,6838
323,13082,6947
324,10164,8340
325,13690,3747
326,12393,7756
327,14142,3311
328,7279,3749
329,14966,15172
330,15813,6094
331,13378,5356
332,10908,8870
333,14728,10126
334,3344,16695
335,11694,16604
336,7329,6654
337,10029,6026
338,15454,14310
339,17717,4708
340,10004,16223
341,14046,14374
342,16465,12716
343,5724,14376
344,16265,4964
345,7439,178
346,10505,8691
347,11016,2978
348,11773,7882
349,17361,317
350,14426,5411
351,7498,7375
352,2450,4178
353,5233,1229
354,7846,15819
355,719,2067
356,17646,2271
357,15382,15150
358,10050,7515
359,16553,11695
360,17848,402
361,19148,389
362,7864,15332
363,7210,1927
364,13671,7822
365,3769,8360
366,16344,939
367,7923,15528
368,12204,818
369,6394,16335
370,9398,3561
371,6048,14703
372,11801,8919
373,9660,3347
374,10664,731
375,10843,3817
376,11608,16854
377,14899,14351
378,18314,4489
379,13190,15775
380,11861,2207
381,18792,15146
382,7423,7525
383,14506,6100
384,2389,2428
385,11853,2279
386,13806,2650
387,14415,5749
388,5632,14384
389,7171,8708
390,15427,3494
391,12725,3429
392,6805,9904
393,3255,1459
394,16350,2749
395,16219,6687
396,18883,231
397,14549,11727
398,10731,18597
399,14745,14656
400,3636,1963
401,17368,233
402,3960,7637
403,10901,15905
404,18286,191
405,17247,9880
406,8514,10698
407,9249,3372
408,14489,15512
409,17659,10544
410,12086,14309
411,14262,2590
412,10022,8617
413,12757,854
414,14237,1624
415,6531,997
416,13934,14482
417,9474,10570
418,14632,13467
419,5885,15863
420,17295,254
421,14397,15526
422,13339,15112
423,2278,1425
424,11826,14905
425,14145,13833
426,15242,2024
427,14064,9038
428,6908,7172
429,17115,570
430,8589,4765
431,3089,2935
432,13670,15078
433,12521,14543
434,11281,1115
435,7707,11636
436,8556,10376
437,11657,2083
438,9659,7627
439,14173,6692
440,5606,7035
441,11641,11008
442,15874,12001
443,6687,11414
444,14987,13028
445,16407,1042
446,18693,4542
447,15992,10958
448,7610,1878
449,9257,5582
450,12417,15503
451,14202,15427
452,4428,2913
453,8138,5865
454,5751,13426
455,8353,6886
456,16440,5633
457,4484,13572
458,4718,2009
459,6580,13259
460,11479,9016
461,7352,14775
462,15549,9380
463,15996,6375
464,6876,1281
465,11725,2715
466,15842,365
467,17265,2203
468,9745,16899
469,11272,3228
470,12020,4295
471,9370,4738
472,14028,9424
473,12938,4803
474,10846,2661
475,14747,17126
476,17137,10343
477,17566,2353
478,7411,16602
479,16478,5746
480,12351,11908
481,14921,14406
482,14464,8999
483,16634,8346
484,4426,575
485,13932,3838
486,7883,673
487,17317,10639
488,15717,7478
489,10661,16273
490,16883,12387
491,12191,5870
492,14991,11627
493,14102,12209
494,13207,2208
495,16997,2974
496,11854,8018
497,9992,8935
498,17974,1144
499,5828,11548
